Chat bot Question samples,,,,,
,,,,,
,#,Question,Answer,Note,Reference
,1,社長は誰ですか？,弊社、株式会社システムコンサルタントの社長は木下仁です。,,https://www.ksc.co.jp/company/
,2,何をしている会社ですか？,弊社では、コンピュータのシステム構築におけるコンサルティングおよびトータルソリューションの提供、情報アクセス基盤ミドルウェアの開発販売、データベース関連セミナーを実施しております。,,https://www.ksc.co.jp/company/
,3,ペーパーレスソリューションに関する問い合わせ先は？,"ペーパーレスソリューションに関するお問い合わせは以下にお願いいたします。
TEL ：03(3829)4453　
MAIL：e-notary@ksc.co.jp",,https://www.ksc.co.jp/wss/
,4,WebQuery 無料体験セミナーに申し込みたいです,"WebQuery 無料体験セミナーのお申し込みはこちらからお願いいたします。
https://www.ksc.co.jp/seminar/",,https://www.ksc.co.jp/seminar/
,5,どのような職種を募集していますか？,弊社では、技術職・営業職・事務職を募集しております。,,https://www.ksc.co.jp/recruitment/conditions.php
,6,電子契約にはどのようなメリットがありますか？,"電子契約には以下のようなメリットがございます。
・印紙税・郵送費・保管費の削減
・業務効率の向上
・コンプライアンスの強化
詳細はこちらをご覧ください。
https://www.ksc.co.jp/wss/stampPro/",,https://www.ksc.co.jp/wss/stampPro/
,7,データベースのパフォーマンスが悪いのですが、対応いただけますか？,弊社では、データベース性能診断サービスとデータベースチューニングサービスをご提供しております。,,https://www.ksc.co.jp/sales/dbSolution/performance.php
,8,研修の対象者はどのような人ですか？,研修の対象者は、新入社員～中堅社員 （IT系）です。,"※SPN部のExcellent・FreeWayのセミナーかグローバル研修かわかりにくいので、
質問し返してもらうのが望ましい。",https://www.ksc.co.jp/igp/training/
,9,インドの治安が不安です。,弊社の子会社があるトゥマクル市は治安がいいと言われています。,,https://www.ksc.co.jp/igp/training/
,10,会社の従業員は何人ですか？,弊社の従業員は2020年4月1日現在286名です。,,https://www.ksc.co.jp/company/
,11,研修を受ける場合、どこに宿泊するのでしょうか？,弊社子会社のSYSTEM CONSULTANT INFORMATION INDIAにあるゲストハウスにご宿泊いただきます。,,
,12,バンガロールってどこにあるんですか？,バンガロールはインド共和国カルナタカ州に位置する都市です。,,"https://www.ksc.co.jp/igp/training/
https://www.ksc.co.jp/blog/global-india-005/"
,13,ベンガルールはどこにありますか？,ベンガルールはインド共和国カルナタカ州に位置する都市です。,,"https://www.ksc.co.jp/igp/training/
https://www.ksc.co.jp/blog/global-india-005/"
,14,SCIIとは何ですか？,SCIIとは、弊社子会社のSystem Consultant Information Indiaの略称です。,,https://www.ksc.co.jp/blog/india-training/
,15,グローバル研修にはどのような企業が参加していますか？,"弊社の研修にご参加いただいている企業様の一例です。
・ANAシステムズ株式会社様
・MS&ADシステムズ株式会社様
・ブリヂストンソフトウェア株式会社様",ロゴおよび事例に記載された複数社から抜粋,"https://www.ksc.co.jp/igp/training/
https://www.ksc.co.jp/caseStudy/"
,16,入社後の研修について教えてください。,入社後は、集合研修・海外研修・フォローアップ研修を受けていただきます。,,
,17,貴社ではどのような新技術に取り組んでいますか？,"以下は、弊社が取り組んでいる新技術の一例です。
・ブロックチェーン
・ＩoＴ
・ＡＩ
・技術研究、産学連携",,https://www.ksc.co.jp/blog/sinewtechnology/
,18,BI製品を選定するフローを教えてください。,"こちらより、BI製品選定に関するフローをご確認ください。
https://www.ksc.co.jp/bi/download/",,https://www.ksc.co.jp/bi/download/
,19,御社の拠点は何か所ありますか？,弊社には、錦糸町本社と新浦安事業所の２つの拠点がございます。,,https://www.ksc.co.jp/company/
,20,海外でも使える英語のシステム構築は可能ですか？,弊社では、英語でのヒアリング、英語によるシステムサポートが可能でございます。,,
